knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex
11a_157,{-1;-1;2;-1;-1;2;2;-1;-3;2;-3},382,384,384,7418
11a_158,{1;1;-2;-2;3;-2;-2;1;-2;3;-2},398,400,400,7952
11a_159,{1;1;-2;1;3;-2;-4;3;5;-4;5},890,892,892,4054
11a_160,{1;1;-2;1;3;-2;-2;3;-2;-2;3},384,386,386,7484
11a_161,{-1;-1;-1;2;-1;-1;2;3;-2;-4;3;-4},508,510,706,17104
11a_162,{-1;-1;2;-1;2;-1;-3;2;-1;-3;2},510,512,512,6120
11a_163,{-1;2;-1;-3;2;2;-1;2;2;2;-3},368,370,370,8004
11a_164,{-1;-3;2;-3;-1;2;2;-1;2;-1;2},492,494,494,6038
11a_165,{1;1;-2;1;3;-2;-2;-2;3;4;-3;4},536,538,782,15052
11a_166,{1;1;-2;1;-2;-3;2;4;-3;4;5;-4;5},1138,1140,2174,23938
11a_167,{-1;-4;3;-4;-2;3;2;-1;2;2;-1;2},706,728,1116,11468
11a_168,{1;1;-4;3;-4;-2;-3;-3;2;2;-3;2;-1;2},1296,1698,2586,67420
11a_169,{-1;-1;-4;3;3;-2;3;-4;-2;3;1;-2},876,878,1078,12054
11a_170,{1;1;-2;3;-2;1;-2;3;-2;3;-2},530,532,532,5832
11a_171,{1;1;-2;1;3;-2;3;-2;3;-2;3},478,480,480,6168
11a_172,{1;1;-4;3;3;-2;3;-4;-1;-2;3;1;1;-2},748,1094,2450,85548
11a_173,{1;1;1;-2;1;3;-2;-1;-4;3;-2;3;-4;3},1034,1328,2792,71576
11a_174,{1;1;-2;1;-2;-2;-2;-2;3;-2;3},202,204,204,12986
11a_175,{1;1;-2;1;-2;-2;-2;3;-2;3;3},236,238,238,11534
11a_176,{1;1;1;-2;1;-2;-2;3;-2;3;3},242,244,244,11354
11a_177,{1;1;1;1;-2;1;-2;3;-2;3;3},220,222,222,12206
11a_178,{1;1;-2;1;-2;3;-2;3;3;4;-3;4},616,618,782,15476
11a_179,{-1;2;-1;2;2;2;2;2;-3;2;-3},168,170,170,14726
11a_180,{-1;-1;-1;2;-1;2;2;2;-3;2;-3},216,218,218,12518
11a_181,{1;1;2;-1;2;2;-3;2;2;-4;3;-2;-4;-3},710,784,2036,93692
11a_182,{-1;-1;-1;-1;-1;2;-1;2;-3;2;-3},184,186,186,13766
11a_183,{-1;-1;-2;1;-2;-2;3;-2;3;-4;3;-4},580,582,780,15440
11a_184,{-1;-1;-1;-1;2;-1;2;2;-3;2;-3},210,212,212,12698
11a_185,{-1;-1;-2;1;-2;3;-2;3;3;-4;3;-4},590,592,782,15476
11a_186,{1;1;1;2;-1;2;2;2;2;3;-2;3;3},250,252,370,98006
11a_187,{1;1;3;-4;2;3;-4;-2;-2;3;-2;-2;1;-2},770,1412,2420,81284
11a_188,{-1;-1;-2;1;3;-2;3;3;3;-4;3;-4},500,502,644,18832
11a_189,{-1;-1;-3;2;-3;2;-1;2;-1;2;2},404,406,406,7286
11a_190,{1;1;-2;1;-2;-2;3;-2;3;4;-3;4},558,560,780,15440
11a_191,{1;1;1;1;1;2;-1;2;2;3;-2;3;3},238,240,354,100022
11a_192,{1;1;1;2;-1;2;2;3;-2;3;3;4;-3;4},682,684,1362,121796
11a_193,{-1;-1;-1;-1;-2;1;3;-2;3;-4;3;-4},512,514,596,19792
