knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex,mgr acyclic
12a_1072,{-1;-1;-1;-2;-2;3;-2;1;-2;3;-2;-1;3},688,770,1064,40482,yes
12a_1073,{-1;3;4;4;3;3;2;-3;2;1;1;-2;-4;3;3;-2},1750,3036,7472,337056,yes
12a_1074,{-1;2;3;-4;-1;3;-2;3;-4;3;2;2;2;3},1800,1892,3028,60536,yes
12a_1075,{-1;-2;-2;-3;4;3;-2;-2;3;1;3;1;2;-3;2;4},1932,2644,7676,330796,yes
12a_1076,{-1;2;3;-4;-1;-2;3;-4;-4;3;2;2;3;-4},1638,1754,3430,56212,yes
12a_1077,{1;-2;-3;4;-3;4;2;-3;-1;-3;4;-1;-3;-2},1864,1992,3432,55300,yes
12a_1078,{-1;-1;2;-3;2;-1;2;-1;-1;2;3;3;2},802,802,1262,33662,yes
12a_1079,{-1;2;3;3;2;-1;2;-1;2;2;-3;2;-1},928,1110,1470,29886,yes
12a_1080,{-1;-4;3;2;2;3;3;-4;3;-2;3;-1;3;2},1320,1696,2864,65936,yes
12a_1081,{-1;3;-4;3;-4;3;2;-3;-4;2;-1;-4;3;2},1352,1432,3552,52272,yes
12a_1082,{-1;2;3;-1;3;3;2;2;2;-3;2;-4;3;-4},1166,1338,1902,85588,yes
12a_1083,{-1;-1;2;-1;-3;-1;2;2;2;3;-1;3;2},498,518,846,49022,yes
12a_1084,{1;-4;3;2;2;-4;2;-3;2;2;2;1;-3;-2},1048,1124,1848,94832,yes
12a_1085,{1;1;4;5;3;-4;5;-2;-3;-4;-4;2;2;-3;2;-1;2},4148,6336,18116,667664,yes
12a_1086,{1;-2;1;2;-3;-4;2;-4;-3;-3;2;-3;4;-3},1478,1742,2966,62148,yes
12a_1087,{1;-4;3;-4;2;-3;2;-3;-3;2;2;1;-3;-2},1496,1756,3032,56752,yes
12a_1088,{1;-2;1;2;3;-4;-4;3;-2;-2;-3;-4;2;2;3;-4},1518,1804,7406,394468,yes
12a_1089,{-1;2;3;-1;3;3;2;-3;2;-4;2;2;3;-4},1024,1188,1740,94936,yes
12a_1090,{1;-5;4;-3;4;-2;1;5;-4;2;-3;2;-3;-4;3;2;2},3932,5100,22000,556880,yes
12a_1091,{-1;-1;2;-3;2;2;-1;-1;2;3;-1;3;2},750,786,1106,37870,yes
12a_1092,{1;-2;1;2;3;-4;3;-4;3;-2;-2;-3;2;-4;2;3},1772,1944,8220,331344,yes
12a_1093,{1;-2;-3;4;1;-2;4;3;-2;-3;4;4;-3;4},1100,1386,3100,60304,yes
12a_1094,{-1;4;5;-4;-3;5;4;-2;3;-2;3;3;-1;3;2},1904,2136,5872,129376,yes
12a_1095,{1;-4;-4;2;-3;2;3;-4;3;-4;1;-4;3;-2},1240,1528,2968,60880,yes
12a_1096,{1;-2;-3;1;-3;4;2;-3;4;-3;-2;-2;-3;4},1682,1758,3432,54136,yes
12a_1097,{1;1;5;-4;5;4;3;2;2;3;4;-3;4;1;-2;-3;2;-1;2},3776,8514,57988,2937994,yes
12a_1098,{-1;3;2;-3;2;1;1;2;3;-4;3;-2;3;-4;3;2},2280,2644,11340,257272,yes
12a_1099,{1;-3;-3;-2;-2;1;-2;3;-2;1;-2;-2;-2},704,704,850,50222,yes
12a_1100,{1;1;-2;1;1;-2;3;-2;1;-2;-3;-3;-2},668,668,1172,36992,yes
12a_1101,{1;-2;-3;-3;-2;1;-2;3;-2;-2;1;-2;-2},654,838,1188,38384,yes
12a_1102,{-1;-3;4;2;-3;2;-1;2;-3;4;-3;2},1600,1600,1600,8636,yes
12a_1103,{-1;3;4;-2;-3;-3;4;-3;2;-3;-2;4;-3;-2;-1;2},1392,2268,10656,269792,yes
12a_1104,{1;-4;-3;2;-3;-3;2;-3;-3;2;1;-4;3;-2},1162,1604,3110,60318,yes
12a_1105,{-1;2;-3;4;2;-1;2;-3;2;-3;4;-3},1460,1460,1460,9408,yes
12a_1106,{1;2;-3;4;-3;2;1;-3;4;-3;5;4;-2;-3;4;3;-5},5606,9198,30954,417280,yes
12a_1107,{1;-2;1;2;-3;-3;-3;2;-3;-3;2;-3;-3},518,518,742,54948,yes
12a_1108,{1;-2;1;2;-3;-4;3;2;-4;-3;-3;2;-3;-3},922,1078,2728,67928,yes
12a_1109,{-1;2;2;-1;2;2;3;-1;3;2;-1;2;-3},798,908,1228,34024,yes
12a_1110,{-1;3;2;-3;2;1;1;-4;2;3;-2;-4;3;-4;3;2},2172,2616,10996,264200,yes
12a_1111,{-1;-1;2;-1;-3;2;-1;2;-1;3;-1;3;2},666,710,1078,44054,yes
12a_1112,{-1;2;-3;4;2;3;1;3;1;3;3;2;-3;2;3;4},1584,1624,5368,478740,yes
12a_1113,{1;1;2;-1;-3;-2;-4;3;2;2;5;4;4;3;3;4;5},2770,2936,16600,675694,yes
12a_1114,{1;-2;-2;-2;-2;-2;1;-2;-2;1;-2;-2},186,186,186,48024,yes
12a_1115,{-1;2;-1;-2;-2;-2;3;-2;-2;3;-2;-2;3},558,558,662,61452,yes
12a_1116,{1;-2;-2;-3;1;-3;-2;-2;-2;3;1;-2;-2},540,710,946,42188,yes
12a_1117,{1;-2;3;4;1;2;4;2;-3;4;5;2;-3;-4;5},4158,4228,6538,126996,yes
12a_1118,{-1;2;-3;-1;-3;4;-3;-3;4;-3;-2;3;-2;4},1668,1668,2728,68056,yes
12a_1119,{-1;2;2;-1;2;-3;2;-1;-1;3;-1;3;2},564,576,924,44570,yes
12a_1120,{1;-2;-2;-2;-2;-2;1;-2;1;1;-2;1},230,230,230,36392,yes
12a_1121,{-1;2;-1;-2;-2;-2;3;-2;3;3;-2;3;3},538,538,642,61788,yes
12a_1122,{1;-3;4;-3;2;-3;1;-3;2;4;-3;2;-1;2},1910,2094,3642,58044,yes
12a_1123,{-1;2;-1;-2;-3;4;-2;4;3;2;-3;2;-3;4;-3;4},1214,2244,8972,306904,yes
12a_1124,{-1;2;3;-4;5;6;-1;-2;3;-4;-5;-2;-3;4;6;5},8640,9800,23808,148392,yes
12a_1125,{-1;2;2;2;2;1;1;2;-3;-4;2;3;-4;-3},632,648,1776,89568,yes
12a_1126,{-1;-2;3;4;5;5;4;-5;4;3;-4;-2;-1;2;3},1064,2112,8544,93608,yes
12a_1127,{-1;2;3;-4;5;6;-1;-2;3;-2;-5;6;-4;5},2980,3252,6888,32916,yes
12a_1128,{1;-2;-2;-2;-2;-2;-2;1;1;1;1;-2},120,120,120,60668,yes
12a_1129,{1;1;1;-2;-3;1;-3;-2;3;-2;-2;-2;1},364,470,694,57822,yes
12a_1130,{1;1;1;-2;-3;1;-3;-2;-2;-2;3;-2;1},472,598,750,54126,yes
12a_1131,{-1;-1;-1;-1;-1;2;3;-1;3;2;-3;2;-1},288,350,526,74766,yes
12a_1132,{1;-2;1;2;-3;2;-3;-3;-3;-4;-4;-3;2;4},756,808,2020,82120,yes
12a_1133,{1;-2;3;4;-3;4;3;-2;3;-1;-1;-2;-2;-2},796,1016,2512,73600,yes
12a_1134,{1;-2;1;1;1;1;1;1;1;-2;-2;-2},94,94,94,76592,yes
12a_1135,{-1;-1;-1;2;3;3;2;-3;2;2;2;-1;2},256,428,660,59856,yes
12a_1136,{-1;-1;-1;2;3;3;2;2;2;-3;2;-1;2},376,588,748,53376,yes
12a_1137,{-1;2;3;-4;2;-4;-4;3;-4;3;2;-3;1;-3;1;2},1264,2268,6444,409112,yes
12a_1138,{1;-2;-3;4;4;4;4;-3;2;-3;4;-1;-1;-2},1096,1208,2112,82416,yes
12a_1139,{-1;-2;-3;4;5;-3;5;4;-5;4;-3;-2;-1;2;3},1710,2506,8864,92418,yes
12a_1140,{-1;2;3;-4;-4;-4;3;-4;3;-2;3;1;1;2},1504,1664,2592,69376,yes
12a_1141,{1;-2;3;-4;1;2;-3;2;2;2;2;-3;-3;-4},1028,1080,1900,87680,yes
12a_1142,{1;-2;-3;4;2;3;-4;3;3;3;-2;3;-1;-4;-1;-2},1668,1768,7640,347664,yes
12a_1143,{1;4;-3;-3;-2;3;4;5;-4;-2;1;5;4;-3;-2},1832,1872,8032,97312,yes
12a_1144,{1;-2;1;2;-3;2;-3;-4;3;-4;5;-4;3;-4;-3;-5;2},5272,5480,23156,500784,yes
12a_1145,{1;-2;-3;1;-3;-3;2;2;2;2;2;-3;2},394,446,458,78180,yes
12a_1146,{-1;2;-3;-4;2;-4;-4;3;-4;3;2;1;1;2},1284,1340,2652,68264,yes
12a_1147,{-1;-1;-1;2;2;2;3;-1;3;2;2;2;-3},364,484,566,63052,yes
